OrderID|ProductID|UnitPrice|Quantity|Discount
106470|3913|246.7|79|0.15
100912|99|87.86|19|0.15
109686|7658|402.45|1|0.1
102363|8171|50.79|70|0.05
100594|9977|246.91|18|0.15
105520|2655|283.82|53|0.0
101059|1641|266.72|81|0.05
106236|3784|384.08|54|0.0
103644|610|19.1|84|0.15
105211|7523|359.75|17|0.2
105223|5063|403.69|62|0.1
107818|3175|56.18|51|0.05
106444|2847|378.39|71|0.0
100105|8030|487.82|4|0.15
104822|9911|403.67|15|0.2
103571|3266|335.56|100|0.1
100288|9985|442.51|97|0.15
104609|5920|337.3|15|0.0
105035|6483|332.03|98|0.1
105787|6813|155.03|86|0.2
103208|2276|19.98|25|0.15
109110|6438|104.94|28|0.2
105732|9225|319.88|43|0.15
100913|1586|365.24|89|0.15
106604|9832|27.59|93|0.0
105444|8754|306.44|6|0.05
103066|5692|152.41|69|0.15
101886|5348|117.2|90|0.0
100381|5540|23.3|23|0.15
100768|6197|15.54|45|0.15
102276|1316|383.13|83|0.0
102775|6318|494.52|7|0.05
108267|4392|173.26|34|0.15
100277|2940|341.17|52|0.2
105854|2738|466.63|60|0.2
106436|8216|57.59|86|0.1
101799|8586|443.83|24|0.0
106838|1550|197.33|86|0.05
108608|3010|290.55|39|0.05
100859|3106|37.27|66|0.15
104095|5959|383.63|68|0.15
107558|1063|233.37|44|0.2
101269|3919|445.52|6|0.15
102279|6205|85.92|76|0.15
103482|2293|173.15|51|0.05
109070|7986|206.48|61|0.1
109291|5935|374.22|81|0.15
105949|718|32.09|26|0.2
104998|7092|29.78|34|0.0
107449|5232|284.56|81|0.05
102990|838|416.01|18|0.15
106631|1860|165.82|90|0.15
107188|3407|373.08|8|0.1
108170|6035|170.35|30|0.2
109153|5765|264.41|73|0.15
108970|7352|58.0|92|0.1
100011|5216|161.49|40|0.1
106365|7341|376.22|54|0.2
106782|873|40.32|40|0.15
102854|1399|261.32|36|0.2
103642|1944|18.86|41|0.0
106356|9291|336.54|66|0.05
100013|9017|47.07|75|0.1
106018|2596|399.24|41|0.0
106313|6394|73.99|36|0.0
100714|2798|178.67|97|0.15
108480|8337|407.46|7|0.2
103374|4579|404.99|42|0.1
105272|5237|418.12|85|0.05
103244|1321|267.42|96|0.05
102554|8051|123.96|68|0.05
103817|5329|386.78|69|0.05
109722|447|80.12|77|0.15
100145|6449|408.74|95|0.15
100249|9007|347.4|29|0.15
104899|6186|305.97|90|0.05
103285|3562|436.56|1|0.2
106207|5681|392.91|28|0.05
105440|8921|358.77|74|0.15
107484|6524|439.16|96|0.0
104303|4215|292.0|100|0.1
108823|461|58.13|15|0.1
102955|5202|368.47|73|0.0
100359|635|353.17|13|0.15
104297|2192|43.93|88|0.05
107688|2382|334.06|78|0.1
106628|2746|406.6|82|0.05
105812|913|18.9|92|0.05
106086|2271|166.34|48|0.0
107656|3563|155.26|9|0.0
102041|9297|60.5|79|0.0
100503|8002|344.01|28|0.15
108278|6033|464.17|46|0.15
106256|636|452.38|62|0.0
100008|4030|435.62|67|0.2
104035|6529|162.37|41|0.1
101491|3212|217.61|40|0.2
104184|3613|97.83|53|0.1
104174|1195|10.24|47|0.0
104438|2546|59.78|100|0.2
104073|3592|344.67|20|0.1
107807|3110|292.53|35|0.05
109515|4959|193.63|42|0.05
108563|4060|380.48|55|0.05
102549|5982|496.61|51|0.0
103828|2944|269.02|46|0.05
100033|2390|125.93|9|0.05
103826|1620|393.25|81|0.1
102267|9803|38.44|75|0.0
109861|7130|224.17|21|0.1
104233|9287|446.25|73|0.0
103313|5299|75.96|58|0.05
102515|4198|117.08|80|0.2
100990|1587|10.31|3|0.0
104706|6518|167.42|19|0.1
103071|9298|387.85|76|0.0
104629|6907|161.47|22|0.0
106959|1311|123.69|47|0.1
106827|9153|420.87|62|0.0
101192|4672|288.91|41|0.05
103689|8105|84.91|77|0.15
105800|537|53.2|57|0.1
107346|5116|184.42|1|0.0
107071|729|267.3|19|0.15
100972|1953|314.65|71|0.2
107149|566|483.83|74|0.2
107047|8131|40.47|99|0.1
106857|7054|455.2|40|0.15
102663|9116|280.11|13|0.0
107537|9568|141.54|74|0.05
104652|3199|382.54|58|0.0
100537|5203|48.42|91|0.2
106272|7374|312.59|96|0.2
102304|9214|337.25|15|0.05
104387|2004|327.0|97|0.15
109646|393|142.09|99|0.15
108811|6557|86.85|8|0.05
106348|1405|400.37|95|0.0
106340|612|121.54|57|0.1
105615|4762|28.02|81|0.2
106109|8721|266.13|13|0.2
109664|8554|294.89|15|0.2
101415|5696|304.12|6|0.15
109945|8612|143.01|4|0.15
106726|8020|207.66|59|0.1
108336|539|181.61|29|0.0
106354|1152|126.34|7|0.0
102946|9136|277.75|23|0.1
103038|8097|230.89|99|0.2
103203|3098|381.01|75|0.0
101373|1006|487.61|51|0.0
106315|4742|276.88|4|0.05
109946|5394|41.44|84|0.05
104665|7685|59.5|58|0.1
101379|3972|161.89|19|0.15
103453|2087|330.42|32|0.0
101583|6444|449.09|54|0.05
108493|8722|95.74|55|0.2
106927|3049|174.36|35|0.05
108644|9091|425.79|82|0.2
101304|266|130.13|33|0.2
105447|1625|457.59|35|0.05
105926|8616|466.2|67|0.2
101186|5805|274.45|41|0.05
109524|5802|141.2|2|0.0
102466|6489|433.56|60|0.15
105012|2234|188.17|98|0.1
109926|931|117.68|10|0.05
108519|7446|73.97|58|0.0
101576|3054|379.21|59|0.0
104151|5123|380.8|98|0.2
104999|9561|218.04|35|0.15
105144|8514|349.59|78|0.0
109288|5686|458.74|77|0.15
109623|9512|212.08|24|0.1
100546|7484|41.55|81|0.1
106588|5730|478.29|69|0.2
108586|8137|310.22|9|0.0
102076|826|171.63|24|0.1
103784|9897|353.45|87|0.0
104683|5293|73.94|22|0.05
100754|8783|80.27|33|0.1
109279|3544|28.87|62|0.2
102848|8053|290.19|16|0.15
101089|7065|53.91|13|0.0
101363|6277|241.63|8|0.2
107031|8109|363.88|66|0.05
105237|4605|302.51|35|0.2
103642|2356|365.21|61|0.15
109358|8376|199.25|54|0.15
102666|3688|367.31|62|0.1
100796|6414|405.57|80|0.0
105567|3950|270.0|4|0.05
108993|7417|155.71|1|0.0
102295|1578|179.39|33|0.0
105591|2982|469.09|66|0.0
101442|5602|297.72|21|0.1
109931|5736|10.17|17|0.15
109725|562|406.65|22|0.1
101566|5704|331.12|99|0.0
100893|4551|282.24|56|0.2
103821|7566|85.4|70|0.2
100959|3955|153.33|1|0.05
107562|9275|176.18|6|0.05
109497|862|436.92|28|0.1
106659|4544|267.03|72|0.1
107574|2646|491.13|3|0.2
104020|269|40.85|9|0.15
109151|467|150.15|15|0.1
103260|6354|301.42|87|0.1
109746|5341|178.91|14|0.2
104258|654|472.32|7|0.05
102529|5084|292.11|37|0.2
100007|8858|136.73|38|0.0
107103|6481|200.92|14|0.05
100301|617|253.36|76|0.1
105766|4732|139.37|69|0.2
109487|3833|367.77|19|0.1
103041|1298|56.43|17|0.0
104705|1713|224.76|13|0.2
104683|2422|192.42|42|0.15
104331|7341|138.08|91|0.05
106557|8353|468.66|14|0.2
104515|2206|428.09|14|0.0
109309|4432|474.81|70|0.0
109669|4309|479.9|33|0.05
107630|3079|262.33|58|0.0
101182|6196|382.95|40|0.15
104180|4131|273.02|17|0.2
103331|939|161.65|24|0.1
108449|9800|27.6|50|0.05
107203|8809|397.64|43|0.2
103765|6511|337.72|73|0.05
100803|3829|307.71|72|0.1
104188|7482|307.08|83|0.0
109558|3902|268.99|2|0.2
105403|7555|125.98|97|0.1
109744|1036|218.44|59|0.1
102474|2430|143.94|80|0.05
101564|2166|68.15|82|0.0
101428|3165|434.31|51|0.15
102711|1782|249.03|1|0.1
104142|9943|46.36|54|0.0
107411|5544|188.57|76|0.0
105591|9192|196.77|75|0.15
102912|2032|326.61|48|0.15
102842|5483|98.95|37|0.15
103347|7634|240.25|63|0.15
103615|4727|270.98|40|0.1
100685|5044|54.09|78|0.15
106344|1749|21.98|65|0.0
106072|8716|251.41|49|0.15
109256|988|231.46|35|0.05
105977|5751|89.71|15|0.0
103221|6990|499.45|65|0.2
107943|3049|452.58|13|0.15
100534|1813|368.87|76|0.2
102779|6482|439.2|30|0.05
102284|8044|253.07|48|0.15
101218|1700|39.63|55|0.0
107104|1318|102.9|54|0.0
100631|2774|186.07|16|0.15
105048|4385|430.27|62|0.05
100961|3664|129.9|42|0.2
109704|4441|182.77|70|0.2
105588|4820|190.04|50|0.2
103446|2659|304.07|33|0.15
102480|5201|446.44|2|0.15
101739|8691|305.31|37|0.1
109799|6694|151.62|65|0.1
107957|5066|433.88|15|0.2
107466|8972|258.68|34|0.15
103864|7532|499.66|56|0.15
100111|2488|337.42|40|0.15
102173|5278|166.95|61|0.15
108917|9956|241.76|27|0.15
103891|6022|12.77|60|0.05
109417|6473|213.27|53|0.05
109209|7840|273.68|61|0.1
104097|2291|423.41|19|0.2
107170|5581|356.31|85|0.05
104532|8125|457.94|73|0.1
102974|9079|239.26|44|0.1
100858|6043|464.79|96|0.05
101597|4556|240.07|95|0.15
108426|6195|291.73|42|0.0
100086|198|178.04|92|0.05
106807|4095|98.06|53|0.15
102239|5492|40.02|59|0.1
103841|2010|425.99|84|0.1
108049|6795|101.02|65|0.05
106592|2533|426.19|76|0.1
106400|1685|213.94|92|0.15
106689|2389|184.73|29|0.1
104814|4596|104.7|13|0.15
107654|6182|326.68|46|0.05
103619|7624|443.72|11|0.15
104415|6679|142.75|78|0.1
104723|9816|119.44|90|0.2
106888|5415|320.74|87|0.2
105480|8672|484.35|57|0.2
109565|3608|212.5|2|0.15
104434|2666|90.32|13|0.0
100295|3187|306.39|46|0.2
100204|7496|278.03|27|0.05
103153|473|227.4|12|0.1
106545|7967|374.35|55|0.2
106521|8594|456.55|64|0.1
108468|6742|240.11|69|0.1
100858|5743|418.47|94|0.0
109388|5535|234.61|35|0.1
108429|1410|362.63|99|0.2
108146|7702|418.53|22|0.2
107167|651|345.12|6|0.2
108362|8054|324.99|96|0.05
102929|126|270.15|30|0.15
100539|8379|215.62|75|0.05
105379|6739|455.03|58|0.2
107712|6769|334.32|53|0.05
108988|6946|89.51|54|0.1
100722|705|163.02|88|0.05
102192|9870|364.23|81|0.0
104994|5418|491.54|70|0.05
105397|8243|469.6|96|0.0
100959|9285|459.99|21|0.1
107661|3020|247.36|84|0.1
107410|7656|133.73|48|0.1
100944|3415|50.25|59|0.2
107391|441|167.61|16|0.15
108738|6741|443.73|78|0.1
105625|8888|256.32|28|0.0
104809|5916|126.62|89|0.15
106483|4419|41.31|78|0.1
107406|426|116.34|99|0.2
103435|4923|64.57|95|0.0
101559|3753|29.66|92|0.1
101848|3704|402.05|47|0.05
102542|1245|226.72|29|0.2
101044|7974|94.89|43|0.05
106962|7671|193.09|35|0.05
103470|5097|442.77|84|0.1
103478|8932|236.66|9|0.1
104916|6643|303.54|14|0.1
109352|3708|128.71|21|0.0
106444|4029|213.95|62|0.15
103763|2835|42.35|26|0.15
109562|4718|52.28|8|0.0
107238|6719|393.49|19|0.2
102730|2806|60.47|81|0.05
108100|3931|224.42|3|0.1
103929|7801|411.13|14|0.1
100832|3921|63.2|66|0.2
107750|4307|468.97|9|0.2
104831|5209|324.42|63|0.0
101196|4764|427.88|9|0.1
104910|2316|496.56|54|0.1
107080|5896|422.54|53|0.05
102367|1154|298.39|1|0.1
100750|9332|344.25|75|0.2
100568|2092|343.06|80|0.1
104561|5049|343.52|76|0.0
107917|3021|87.63|94|0.0
102272|9832|469.15|25|0.05
108465|4687|270.45|38|0.0
108260|7762|315.25|36|0.0
109615|4553|243.77|61|0.05
108507|8691|10.83|43|0.05
104068|7665|337.3|67|0.15
107674|8335|327.05|6|0.05
103788|5105|459.88|46|0.15
106243|6143|358.87|72|0.2
109572|2744|194.72|80|0.2
102730|2785|120.68|6|0.15
109210|8410|474.81|40|0.15
103980|7980|147.15|18|0.0
104913|5110|41.15|19|0.2
108677|5517|393.73|60|0.05
106056|7112|300.85|73|0.1
105427|3958|416.24|39|0.1
100214|5584|438.87|10|0.1
106931|4915|44.98|39|0.15
103174|7676|132.78|95|0.05
108047|4507|420.93|49|0.05
108308|2009|217.94|97|0.15
101789|5854|247.04|17|0.0
106483|9600|318.48|44|0.15
100270|9661|461.12|2|0.1
107479|2537|256.21|66|0.0
106508|1230|84.39|55|0.15
108729|6967|490.01|73|0.05
101635|6249|282.92|49|0.15
102834|1586|99.86|55|0.1
107971|2207|216.85|63|0.2
102026|4423|44.43|58|0.1
106763|2998|118.19|95|0.2
104897|7646|343.6|40|0.0
107812|7165|192.28|3|0.15
104306|4732|14.59|44|0.05
107501|7036|190.35|22|0.2
101564|9176|383.98|85|0.0
105657|6821|39.74|66|0.15
104612|8310|83.15|74|0.2
108429|9340|51.17|26|0.0
103584|8322|428.24|42|0.2
100227|7684|367.59|49|0.15
105447|3732|60.02|70|0.2
101514|1329|184.3|11|0.1
102851|89|448.43|51|0.15
106083|4437|46.4|93|0.1
106048|8367|122.08|30|0.0
103270|8452|163.89|40|0.05
100962|7611|263.77|20|0.05
107130|1480|467.71|81|0.0
106851|7257|25.71|65|0.15
106827|5800|426.56|57|0.2
103046|1703|388.58|21|0.2
105943|9328|250.58|63|0.1
104791|1818|153.35|71|0.1
102044|4600|56.92|31|0.1
102886|3689|155.5|70|0.15
104780|8173|359.28|12|0.05
101421|3435|349.6|33|0.15
105368|8867|493.6|17|0.2
100702|8442|162.7|72|0.05
104307|7416|120.85|34|0.15
109144|9772|37.4|18|0.15
107782|9613|401.32|67|0.05
104422|4016|37.17|33|0.2
103720|6753|247.93|34|0.2
109304|977|197.61|6|0.2
